Comment,Designator,Footprint,LCSC,Quantity
47uF,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C108053,1
TPS62143RGTT,U4,RGT16_1P7X1P7,C140242,1
TXS0104ERGYR,"U3,U7",RGY14_2P05X2P05,C154926,2
10uF,"C12,C16,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1713,3
100k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17407,1
10K,"R14,R2,R7,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,4
2.2K,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17520,1
8.2K,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17828,1
47uF,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C178332,1
180,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25270,1
470uF,C13,CP_Elec_10x10,C2905295,1
10uF,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C40894,1
1.5K,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,1
MIC5504-1.8YM5,U5,SOT-23-5,C626116,1
ICM-20948,U6,InvenSense_QFN-24_3x3mm_P0.4mm,C726001,1
22uF,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C76637,1
10uF,"C1,C17,C23,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C77075,4
10uF,"C19,C20",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C87157,2
MMBT8099LT1G,U8,SOT-23_ONS,,1
