Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.4,-86.45,180.0,top
C12,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.8225,-86.3875,90.0,top
C13,470uF,CP_Elec_10x10,152.0,-77.0,90.0,top
C14,47uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.6,-85.4,90.0,top
C16,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.025,-99.35,90.0,top
C17,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.4375,-115.25,0.0,top
C19,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.81,-103.1,90.0,top
C20,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.6375,-113.0,0.0,top
C23,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.2,-95.3625,-90.0,top
C3,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.35,-112.8,90.0,top
C4,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.173718,-71.625002,0.0,top
C6,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.573718,-73.225002,-90.0,top
C8,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.9875,-83.7125,180.0,top
C9,47uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,109.0,-81.2,0.0,top
IC2,NC7WZ241K8X,SOP50P310X90-8N,142.6,-122.125,-90.0,top
J1,24-27,PinHeader_1x04_P2.54mm_Vertical,133.98,-74.25,-90.0,top
J2,28-31,PinHeader_1x04_P2.54mm_Vertical,133.98,-77.0,-90.0,top
L1,2.2uH,IND_SRP2512_BRN,115.673718,-73.925002,-90.0,top
R1,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,115.373718,-77.225002,0.0,top
R11,2.2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.2,-86.45,180.0,top
R13,8.2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.2,-84.2,180.0,top
R14,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.8,-96.525,-90.0,top
R2,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.8,-99.925,180.0,top
R3,1.5K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.2,-88.7,180.0,top
R4,180,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,152.0,-112.0,0.0,top
R7,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,107.4,-101.81,90.0,top
R9,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.1125,-114.05,90.0,top
U3,TXS0104ERGYR,RGY14_2P05X2P05,138.587499,-119.031,0.0,top
U4,TPS62143RGTT,RGT16_1P7X1P7,120.523781,-75.350001,0.0,top
U5,MIC5504-1.8YM5,SOT-23-5,156.9375,-86.75,180.0,top
U6,ICM-20948,InvenSense_QFN-24_3x3mm_P0.4mm,151.2,-103.425,0.0,top
U7,TXS0104ERGYR,RGY14_2P05X2P05,151.131,-97.374999,90.0,top
U8,MMBT8099LT1G,SOT-23_ONS,157.2,-112.6348,180.0,top
